run_id,backend,shape,mode,threads,runner_exit_code,parquet_present,setup_parquet_present,summary_present,status,attempted_ops,successful_ops,failed_exception_ops,failed_slow_ops,success_rate,top_failure_category,top_failure_reason
exp3_file_copy_fan_out_32t_branch_tpcc,file_copy,fan_out,branch,32,0,1,0,1,PARTIAL,32,0,32,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_fan_out_64t_branch_tpcc,file_copy,fan_out,branch,64,0,1,0,1,PARTIAL,64,0,64,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_fan_out_128t_branch_tpcc,file_copy,fan_out,branch,128,0,1,0,1,PARTIAL,128,0,128,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_fan_out_256t_branch_tpcc,file_copy,fan_out,branch,256,0,1,0,1,PARTIAL,256,0,256,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_fan_out_512t_branch_tpcc,file_copy,fan_out,branch,512,0,1,0,1,PARTIAL,1530,0,1530,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; database ""main"" already exists"
exp3_file_copy_fan_out_1024t_branch_tpcc,file_copy,fan_out,branch,1024,0,1,0,1,PARTIAL,1024,0,1024,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_fan_out_1t_crud_tpcc,file_copy,fan_out,crud,1,0,1,1,1,SUCCESS,80594,80594,0,0,1.0,,
exp3_file_copy_fan_out_2t_crud_tpcc,file_copy,fan_out,crud,2,0,1,1,1,SUCCESS,143257,143257,0,0,1.0,,
exp3_file_copy_fan_out_4t_crud_tpcc,file_copy,fan_out,crud,4,0,1,1,1,SUCCESS,188524,188524,0,0,1.0,,
exp3_file_copy_fan_out_8t_crud_tpcc,file_copy,fan_out,crud,8,0,1,1,1,SUCCESS,185935,185935,0,0,1.0,,
exp3_file_copy_fan_out_16t_crud_tpcc,file_copy,fan_out,crud,16,0,1,1,1,SUCCESS,201207,201207,0,0,1.0,,
exp3_file_copy_fan_out_32t_crud_tpcc,file_copy,fan_out,crud,32,0,1,1,1,SUCCESS,193221,193221,0,0,1.0,,
exp3_file_copy_fan_out_64t_crud_tpcc,file_copy,fan_out,crud,64,0,1,1,1,PARTIAL,174582,174547,0,35,0.9997995211419276,FAILURE_TIMEOUT,Slow operation: 0.135721s > 0.100000s
exp3_file_copy_fan_out_128t_crud_tpcc,file_copy,fan_out,crud,128,0,1,1,1,PARTIAL,189717,189680,0,37,0.9998049726698187,FAILURE_TIMEOUT,Slow operation: 0.100579s > 0.100000s
exp3_file_copy_fan_out_256t_crud_tpcc,file_copy,fan_out,crud,256,0,1,1,1,PARTIAL,152346,149885,0,2461,0.9838459821721608,FAILURE_TIMEOUT,Slow operation: 0.111051s > 0.100000s
exp3_file_copy_fan_out_512t_crud_tpcc,file_copy,fan_out,crud,512,0,1,1,1,PARTIAL,17082,9701,0,7381,0.5679077391406159,FAILURE_TIMEOUT,Slow operation: 0.236636s > 0.100000s
exp3_file_copy_fan_out_1024t_crud_tpcc,file_copy,fan_out,crud,1024,0,1,1,1,PARTIAL,2925,1818,0,1107,0.6215384615384615,FAILURE_TIMEOUT,Slow operation: 0.310386s > 0.100000s
exp3_file_copy_spine_1t_branch_tpcc,file_copy,spine,branch,1,0,1,0,1,PARTIAL,1474,1464,0,10,0.9932157394843962,FAILURE_TIMEOUT,Slow operation: 0.163395s > 0.100000s
exp3_file_copy_spine_2t_branch_tpcc,file_copy,spine,branch,2,0,1,0,1,PARTIAL,2,0,2,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_spine_4t_branch_tpcc,file_copy,spine,branch,4,0,1,0,1,PARTIAL,4,0,4,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_spine_8t_branch_tpcc,file_copy,spine,branch,8,0,1,0,1,PARTIAL,8,0,8,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_spine_16t_branch_tpcc,file_copy,spine,branch,16,0,1,0,1,PARTIAL,16,0,16,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_spine_32t_branch_tpcc,file_copy,spine,branch,32,0,1,0,1,PARTIAL,32,0,32,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_spine_64t_branch_tpcc,file_copy,spine,branch,64,0,1,0,1,PARTIAL,64,0,64,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
exp3_file_copy_spine_128t_branch_tpcc,file_copy,spine,branch,128,0,1,0,1,PARTIAL,128,0,128,0,0.0,FAILURE_BACKEND_STATE_CONFLICT,"Backend state conflict: Error executing sql query: CREATE DATABASE main TEMPLATE microbench STRATEGY = FILE_COPY; None; source database ""microbench"" is being accessed by other users"
